GrantIDs	Counter
CZB/4/705	2
MH074027	5
N01 MH900001	3
P50 CA058236	3
CA86323	2
U01 CA086323	2
CA105055	2
CA95052	2
CA106523	2
R01 CA106523	2
R01 CA095052	2
CA112517	3
CA58236	2
R01 CA112517	2
R01 CA112517-01A1	1
R01 CA105055	2
g9424799	1
HD49861	1
HD44454	1
R01 HD049861	1
gr75492	1
g0500079	1
R01 HD044454	9
R01 DA016750	10
R01 DA016750-08	1
R01DA016750	4
1 R01 HD41224	1
HHSN26120080001E	4
2004NOV49	3
A3353	1
BREAST CANCER NOW RESEARCH CENTRE	9
P01 GM099568	20
MH016880	1
Z01 AG001050-01	1
T32 MH016880	7
T32-AG000186-23	3
MH066140	3
DA13240	4
DA029377	1
AA09367	4
MC_UU_12013/5	21
DA05147	7
ZIA AG000196-03	7
F31 DA029377	3
P01-AG005842	2
P30-AG012810	2
P01 AG005842	11
AA11886	3
DA024417	7
P30 AG012810	10
T32 AG000186	12
P01-AG005842-20S2	2
ZIA AG000196-04	7
M01RR000865	1
R01HD050735	1
R01-NS059873	1
R01EB007813	1
K24 AR048841	3
R01 AR052000	4
MC_U122886349	4
Z01AG000015-50	1
G9309834	3
CZB/4/733	6
R01 AA012070	1
R37 AG013196	6
R01 AG013196	9
K02 DA21237	3
R01 MH083738	3
R01 MH079799	7
R01MH059548	3
K25HG000060	1
R01MH44292	1
K01RR16090	1
R01EY015771	1
ZIA EY000489-01	2
R01 HL075431	1
1 U24 RR021992	1
P20RR020837-01	1
P50 NS039764-10S40003	1
F/99089	1
BB/F020481/1	3
G0901905	1
BB/F000227/1	1
G9717869	1
P01 HL087018	4
C06 CA62528-01	1
R01 HL103931	13
P01 HL147823	3
C06 CA062528	2
RR14514-01	2
C06 RR10600-01	1
C06 RR014514	2
1P01HL098055-01	1
R01HL103931-01	1
P01 HL076491	18
R01 DK080732	5
R01DK080732	5
P01 HL098055	16
P01HL087018	5
P01HL076491	6
P01 HL56693	1
GM 5MO1-RR00095	1
P01 HL056693	1
M01 RR000095	2
U01HL65962	3
G0701420	21
U2AG21886	2
R01-AR057108	6
R01 AR044422-13	2
MOP79321	2
1K08AR055688-01A1	2
17552	16
U01 GM092691	6
R01 AR057108-02	2
R01 AR057108	5
IIN84042	1
R01 AR056768	7
R01 AR057108-01	2
R01-AR056768	6
U01-GM092691	5
R37HL051021	2
R01 HL059367-02	5
U01 HG004402-01	6
R37 HL051021-06	1
U01 HL080295-01	5
R01 HL087652-01	8
R37 HL051021-12	1
R37 HL051021-13	1
U10 HL054512-05	2
R37 HL051021-11	1
UL1 RR025005-01	9
R01 HL087641-01	8
U10HL054512	3
R37 HL051021-14	1
R37 HL051021-15	1
R37 HL051021-10	1
R37 HL051021	1
Z01-AG000949-02	7
P30 CA016087	8
U01 CA069398	5
AG-16592	7
R03 HD061437	5
HD-061437	7
R01 AG016592	8
M01 RR000069-43	2
R01HL077477	5
R01 HL055502	2
R01 HL077477	9
R01 HL080124-05	1
R01 HL093328-02	1
2K24HL04334	5
U01 HL080295-03	1
K24 HL004334-03	1
R01HL093328	4
R01 HL077477-01	3
R01HL080124	3
R01 HL55502	1
R01 HL093328	15
P30 DK063491-08	1
R01 HL080124	6
R01 HL055502-07	1
K23 DK068290	2
R03 DK78527	2
R01 DK056839-10	1
R03 DK078527	2
R01 DK091823	4
R01 DK80670	3
R01 DK080670	5
MOP 74621	1
R01 DK056839	2
K23 DK68290	2
CA89745	3
P42 ES004705-199009	1
HL086528	2
CA122663	3
R01 CA104682	5
R01 CA087014	4
CA104862	1
R01 CA045614	6
R03 CA089745	5
R01 CA122663-01	1
U01 HL086528	2
P42 ES004705	7
R01 CA104682-05A2	1
CA87014	1
R01 CA122663	6
Z01 AG000949-03	3
Z01 ES101986	9
J-0804	5
R01 NS041509	4
R01 NS041509-09	1
UL1 TR000448	13
R01 NS050425-05	1
R01 NS058714-03	1
G0400000	1
G108/638	4
G-0909	4
UL1 RR024992	13
R01 NS050425	1
R01 NS058714	1
GM073059	3
ES015794	9
Z01ES049019	1
HL078885	8
HL088133	10
Z01 ES049019	6
R01 GM073059	8
R01 HL078885	8
R01 DK069845	1
P30 ES006096	5
P30 ES006096-19	1
T32 ES010957	1
R01 DK069845-04	1
T32 ES010957-11	1
U10 CA098543	18
U24 CA114766	15
ZIA CP010142-12	1
N01-CN-45165	7
N01-CO-12400	6
N01-RC-37004	7
T32 CA 09001	4
U01CA098233	3
R01 MH062873-05	3
R01D0042157-01A	11
P60-DK20595	2
R01-DK077489	2
N01-DK-6-2204	8
R01 DK077489	2
K23 HL080025	15
WT088885/Z/09/Z	3
FS/05/061/19501	5
SP/02/001	1
PG02/128	5
K23-HL-080025	3
06/094	2
R01 ES010751	5
P50 NS040256	1
ES10751	1
P01 NS040256	1
NS40256	1
R01 NS033978	2
NS33978	1
ES10751-S1	1
R01DK076770-01	1
R01 DK076770-01	2
R01 DK080151	1
R01 HL060944-08S1	1
R01 HL060944-08	2
R01 HL061019-08	2
R01 HL060894-07	2
R01 HL060894-06A1	2
R01 HL060944-06A1	2
R01 HL061019-06A1	2
R01 HL060894-06A1S1	2
R01 HL061210-06A1	2
HL060931	1
R01 HL061019-10	2
HL061210	2
R01 HL061210-09	1
R01 HL060944-10	1
R01 HL060894-10	1
R01 HL061019-07	2
R01 HL060931-05	2
R01 HL060944-09	2
R01 HL061210-08	2
R01 HL060931-04	2
R01 HL060944-08S2	1
P30 DK063491-07	5
M01 RR000425-39	4
R01 HL060894-08	2
DDK063491	1
R01 HL061210-07	2
R01 HL060944-07	2
R01 HL061019-09	2
R01 HL061210-07S1	1
R01 HL060894-09	2
R01 CA070817	2
R01 CA 065725	2
U54 CA100971	2
P01 CA87969	6
P01 CA55075	3
R03 CA133937	1
P30 DK050456	2
T32 MH076694	5
U54 RR0252204-01	2
R01 AR057049	27
R01 DA025201	1
P50 NS023724-22	1
L30 NS052978-04	1
R01 MH080957	2
P50 NS023724-229002	1
L30 NS052978-03	1
P50 NS023724	4
R01 MH080957-03	1
L30 NS052978-02	1
R37 NS033797-12	1
MGC 77493	1
R01 NS038523-04	1
P50 NS2372	1
R01 NS038523	1
R01 NS38523	1
R01 HL062252	3
5U19 AI063603	1
U19 AI063603	2
5U01 MH079470	1
R37 NS033797	1
5U01 MH079469-02	1
R01 HL62252	1
R01 MH078075	9
1R01HL087679-01	1
PDA/02/06/016	15
K07 CA118412-04	1
R01 CA082659	5
K07 CA118412	1
N1-AG-1-1	2
N1-AG-1-2111	2
12042	1
P01 HL55782	1
P01 HL055782	1
R01 DK081352	1
R01 DK081352-01	1
UL1 RR024975-02	1
U01 HG004603-04	1
U01 HG04603	2
U01 AI069471-06	1
U01 AI069502	6
U01 AI069513	6
AI68634	1
AI69467	2
U01 AI032782-13	1
U01 AI034835-07S3	1
UM1 AI069423	6
R01 MH071205-04	1
AI069415	2
U01 AI069501-06	1
U01 AI069474	6
T32 AI007061	1
R01 AI028568-19	1
AI069465	2
U01 AI069434	6
U01 AI069465-06	1
AI069556	2
UM1 AI069501	6
UM1 AI069472	6
U01 AI069467	6
U01 AI069423	6
UM1 AI069513	6
U01 AI046370-05	1
UL1 RR024975-04	1
U01 AI069450-06	1
AI069419	2
AI069511	2
U01 AI034853-11	1
R01 AI028568-20	1
AI46370	2
AI077505	2
U01 AI027661	6
U01 AI069513-06	1
U01 AI069452-05	1
U01 AI069477-06	1
UM1 AI069424	6
R01 AI077505	8
R01 MH054907	1
U01 AI069474-05	1
U01 AI069465	6
R37 AI028568-15	1
U01 AI069472-06	1
UM1 AI069434	6
K24 AI064086	3
U01 AI027661-19	1
UM1 AI069432	6
P30 AI060354-09	1
AI069501	2
UL1 RR024975-05	1
AI069532	2
AI069474	2
K24AI069994	1
AI069434	2
R01 AI030914-17	1
UM1 AI069495	6
R01 AI028568-18	1
U01 AI069484	6
UM1 AI069471	6
U01 AI069501-05	1
U01 AI069556	6
UM1 AI069428	6
U01 AI034835-07	1
R24 AI067039-07	1
U01 AI069513-05	1
U01 AI069465-05	1
AI069513	2
AI069502	2
K24 AI069994	1
AI069423	2
U01 AI069419-05	1
AI30914	1
U01 AI069428	6
U01 AI069532	6
K24 AI051966	1
U01 AI069467-05	1
UL1 RR024131	10
U01 AI069484-05	1
UM1 AI069415	6
UL1 RR024131-06	1
AI030914	1
U01 AI069511-06	1
P30 AI027763-19	1
AI27661	2
U01 AI069452-06	1
U01 AI069477-05	1
U01 MH085520-01	1
U01 AI046370-04	1
K24 AI069994-04	1
UM1 AI069484	6
AI069428	2
AI34853	2
UM1 AI068634	4
MH085520	2
U01 AI069501	6
R24 AI067039	2
P-30 AI27763	1
U01 AI069423-05	1
U01 AI069450-05	1
AI069452	2
U01 AI069556-05	1
AI069495	2
UM1 AI068634-06	1
U01 AI069556-06	1
K24 AI069994-05	1
UM1 AI069477	6
U01 AI069432	6
P-30-AI060354	1
U01 AI038844-04S2	1
AI069484	2
AI068636	2
U01 AI069423-06	1
R01 AI087145	1
U01 AI069450	6
U01 AI069419-06	1
RR024975	3
R01 AI077505-05	1
U01 AI069511-05	1
U01 AI069424-05	1
U01 AI046370	6
U01 AI068636	6
UM1 AI069474	6
U01 AI069467-06	1
U01 AI069495-06	1
U01 AI069484-06	1
R24 AI067039-06	1
U01 AI034853	6
R37 AI028568	1
R01 AI087145-01	1
U01 AI069434-05	1
UM1 AI069452	6
U01 AI069428-05	1
AI069424	2
AI087145	1
UM1 AI069496	3
U01 AI069415	6
UL1 RR024131-07	1
U01 AI069428-06	1
U01 AI038844-04	1
U01 AI069495	6
UM1 AI069556	6
P30 AI027763	4
U01 AI038844-04S3	1
U01 AI069511	6
U01 AI069432-06	1
K23 DA019809	1
UM1 AI068636-07	1
U01 AI069532-06	1
U01 AI069502-05	1
U01 AI069532-05	1
U01 AI038844-04S1	1
R01 MH071205	2
UM1 AI069502	6
UM1 AI069450	6
AI34835	2
U01 AI025859	6
UM1 AI068636-06	1
MH071205	2
UM1 AI069532	6
R01 MH071205-05	1
R01 AI087145-02	1
U01 AI069424	6
UM1 AI069465	6
AL32782	2
K24 AI064086-05	1
AI069450	2
U01 AI034853-12	1
HHSN261200800001C	26
AI069472	2
UM1 AI069419	6
AI28568	1
U01 AI069471-05	1
AI069432	2
P30 AI027763-20	1
U01 AI069502-06	1
U01 AI069477	6
U01 AI069424-06	1
R01 AI077505-04	1
UM1 AI068634-07	1
R01 AI028568	1
U01 AI069474-06	1
P30 AI060354	1
U01 AI069495-05	1
U01 AI069419	6
R01 AI030914	1
AI25859	2
UM1 AI069511	6
HHSN261200800001E	36
U01 AI069452	6
UM1 AI069467	6
U01 AI027661-18	1
U01 AI069434-06	1
AI38844	2
P30 AI060354-08	1
U01 AI069432-05	1
R01 AI030914-16	1
AI069477	2
U01 AI069472-05	1
AI069471	2
U01 AI069471	6
U01 AI069472	6
P30 AI050410	6
R24 AI106039	1
U01 AI068634	4
UM1 AI068636	4
R01 MH062137-05	1
R01 MH062137	4
G9623693N	5
MH062137	3
G0500791	6
G0802366	1
G0500791(74939)	2
G0802366(89918)	1
R01 MH067288	4
R01 MH067288-06	1
MH067288	3
G1001245	19
G0600717	5
084713	2
G9824984	4
098497	1
G0900554	4
WT098051	18
P60 AR053308	9
N01-AR1-2256	2
R01-AR44804	1
HL54900	1
HL74165	1
5-M01-RR00079	1
K23-AR051044	1
M01-RR00052	3
AR050267	1
R01-AR046588	2
N01-AI95386	1
AR43737	1
R01 GM028157	10
R01 GM28157	4
U19 GM61388	8
G0901858	5
G0600676	3
PG08/008	1
R01 DK082766	7
R01DK082766	5
K01 TW006087	4
R01 HL084410	2
AG026916	1
HL084410	1
5R01HL087679-0	1
MRC G0800582	3
WT083431MA	16
N01-HC-55015,	1
R01 HL085197-02	1
HL81638	1
R01 HL066533	1
M01 RR000055	2
HL61879	1
HL70831	1
U01 HL049596	3
R01 HL072414	4
M01 RR00055	2
P50 HL056399	1
HL66533	1
HL56399	1
HL85197	1
P50 HL056389	1
R01 HL085197	11
P01 HL056389	1
HL72414	2
HL56389	1
P01 HL070831	4
ZIA MH002810-08	1
G1000708(94900)	1
MD, 1Z01MH002810-01	1
R01 MH079240	1
R01 MH079799-03	1
MH079240	1
C150/A5660	1
C1178/A3947	1
AG19757	2
R01 NS031153	2
R01 AG019757-06	2
NS31153	2
R01 AG027944-01A2	1
AG20135	2
R01 AG020135	2
MC_U127561111	1
G117/564	1
R01 NS049477	12
R01 AI076544	4
R01 NS067305	6
NS067305	3
MH065215	1
NS049477	4
084702/Z/08/Z	1
T32 MH065215	3
AI076544	3
NS032830	4
R01EY014467	1
K23-HL080025	1
R01 HL060040	2
HL080124	1
6R01-NS 17950	1
R01 HL070100	5
K24-HL04334	2
K23-HL-074077	1
R01 HL70100	1
K23 HL074077	1
1R01 HL60040	1
R01 MH074027	13
R01 MH077139	20
R01 MH080403	9
066717	2
R01 MH071681	3
R01 NS062885	2
R01 NS26799	1
R01 HL102090	1
R01 HL102090-01A1	1
R01 HL102090-01	1
MH0666730	1
NS049261	3
R01 MH081754-01	1
N01-HD-4-3368	1
R01 NS036768	3
P50 HD055748	2
P50 HD055784	1
UL1-RR024134-03	3
R01 MH064547-01	1
MH69359	1
R01 MH064547-04	1
U54 MH066673	1
R01 MH064547-05	1
P50 HD055782	4
MH64547	2
P50 HD055784-020002	1
R01 NS049261	1
P50 HD055782-01	1
M01-RR00064	3
N01-HD-4-3383	1
P50 HD055784-01	1
MH061009	3
R01 MH061009	2
MH081754	4
R01 MH081754-02	1
UL1 RR024134-01	1
R01 NS049261-01A2	1
P50 HD055784-010002	1
R01 MH061009-01A1	1
R01 MH068398	1
R01 MH064547-01S1	1
R01 MH069359-01A2	1
R01 NS036768-06	1
R01 MH080647-11	1
R01 MH064547-03	1
R01 MH064547-02	1
P50 HD055751	3
P50 HD055751-01	1
U54 MH066673-01A10001	1
R01 MH064547	2
HD055784	3
R01 MH081754	2
P50 HD055784-030002	1
R01 MH069359	1
NS36768	2
P01 NS026630-109001	1
R01 MH064547-02S1	1
HD055782-01	1
M01 RR000064	3
UL1 RR024134	7
HD055751	3
AA07535	5
U01 MH046276	17
U01 MH046289	11
U01 MH046318	16
G9900432	2
N01HR76113	9
N01HR76104	9
N01HR76105	9
N01HR76110	9
R01 HL084323	13
N01HR76106	9
N01HR76109	9
N01HR76116	10
N01HR76112	9
R01 HL083069	1
N01HR76107	9
N01HR76102	9
N01HR76118	10
N01HR76115	1
N01HR76111	9
N01HR76114	9
N01HR76103	9
R01 HL075478	10
N01HR76108	9
G0500306	4
N01HR76101	10
R01 NS37167	2
R01 NS036711-09	3
R01 NS037167	6
GTB07001	3
R01 NS037167-10	1
R01 NS036711	5
P30 DK043351	18
DK062423	9
DK062431	8
K23 DK069513	4
DK062422	8
DK069513	3
R21 DK084554	8
K08 AR055688-01A1S1	2
DK062420	8
WT089120/Z/09/Z	2
R03 DK076984	6
089120	3
DK 063491	4
K08 AR055688-04	6
DK062429	8
DK062432	9
DK084554	8
DK76984	4
AR43814	1
AR24260	1
R01 AR043814-10A2	1
AR22804	1
AR43247	1
AR49084	1
RR020278	1
AR43815	1
AI24717	1
R01 AR033062	3
051276	2
AR33062	1
5 R01 DK 075787	1
DK62370	1
DK72193	1
5P01CA087969	1
P50 AG16574	6
R01 AG018023-07	2
P50 AG016574-100006	1
AG03949	3
P50 AG025711-019003	1
F32 AG020903	1
U01 AG06576	3
P01 AG003949-200009	1
AG12716	1
AG25711	2
R01 AG18023	3
U01 AG006786-19	1
U24 AG21886	6
F32 AG020903-02	1
P01 AG017216-019001	1
U24 AG021886-02	1
GR076113	2
086596/Z/08/Z	9
0600705	1
DK067288	1
HL087679	4
K23 DK080145-01	8
DK080145	2
DK07191	1
K23 DK067288	3
G02651	1
G0000649	8
DK079466	2
R33 CA127768	1
P50-CA92629	1
P50 CA092629	3
R33 CA 127768-02	1
RC2 CA148463	4
UC2 CA148463	3
AI067152	3
NS2427	1
P01-AI039671	1
NS26799	3
U54-RR020278-1	1
U19 AI067152	5
P30 DK040561-12	2
R21-AR053992	1
R21 AR053992	1
R01-AR/AG41398	2
R01-AR050066	1
11021	7
A10123	2
10119	28
R01 CA083115-08	3
R01 CA083115	10
R01 CA83115	4
C588/A4994	7
SP/10/10/28431	1
076113/C104/Z	1
072029	1
T32 HL072751	2
N01 AG-1-2109	1
T32HL072751	1
Z01 AG000856-06	1
Z01 AG000672-05	1
N01WH32100-2	5
U01 HG 004438	6
N01WH32105-6	5
N01WH32111-13	5
N01WH32118-32119	3
R01 CA120582	3
N01WH42129-32	5
N01WH32108-9	5
R01 CA127943	1
N01WH42107-26	6
N01WH44221	9
080952/Z/06/Z	1
K23 DK65978	3
MRC PG/07/002	1
078986/Z/06/Z	1
064354	1
MC_U123192748	7
082604	3
G0601846	3
R01 CA5558	1
R01 CA102422	3
R01 ROI CA83115	1
R0-1 CA 83115	1
HSN268200625226C	5
N01-HC-15103	2
R01DK06833603	2
R01DK07568101	2
R01HL08770003	1
R01 HL070751	3
2 R01 HL070751-05	3
U01-HL-084756	1
U01-HL-72515	1
U01 HL084756-03	9
M01-RR-16500	2
M01-RR-000052	1
P30-DK-072488	2
G0500020	2
G0800460	3
WT91745/Z/10/Z	2
085925/Z/08/Z	2
G0802068	3
091745	2
WT090355/B/09/Z	4
1R01LEY018246	1
WT09355A/09/Z	1
P50 AR054144	5
P50-AR-054144	1
P50 AR054144-03S1	1
UL1 RR024148	6
UL1-RR-024148	1
N01AR02251	3
R01 AR055258	5
UO1 CA 122171	1
R01 MH068503	2
MH68503	2
MH59567	1
083948	12
BB/D004659/1	1
061859	1
089989	5
R01 DK054931	1
R01 DK054931-12	1
DK54931	1
R56 DK054931	1
R01 HG003646	2
R01 DK054931-13	1
G0200585	2
MC_U137884177	2
U19 AI067854	5
U19 AI067854-03	1
R01 DK075787-01A1	2
R01 AG027002-01	2
U01 HG004728	22
U01 HG004726-01	3
P60 DK079637-01	1
U01 HG004436-01A1	1
P30 DK072488-01	2
U01 HG004399-01	1
K12 RR023250-01	2
U01 HL069757-01	3
U01 HG004438-01	2
R01 HL087660-01	2
R01 AG032098-01A1	3
U01 HG004729-01	1
R01 DK066574-01A1	1
R01 AG018728-01A1	3
U01 HG004728-01	2
R01 HL088119-01	3
R01 HL043851-09	6
U01 HG004446-01	1
U01 HG004738-01	1
R01 DK058845-01	1
P30 DK063491-01	1
U01 DE018903	19
U01 HG004436	20
U01 HG004423-01	3
U01 HG004735	11
R01 HL087700-01	1
U01 HG004738	9
U01 HG004424-01	1
U01 HG004423	18
U01 HG004422-01	2
U01 HL084756-01	4
R01 HL080295-05	2
R01 HL117078	33
U01 DE018993-01	3
U01 DE018903-01	1
U01 HG004735-01	1
U01 HG004726	22
K22 CA130828	4
R01 CA138461	9
U01 GM061388	3
U01 GM61388	1
R01 HG000376	4
R56 HG000376	2
HHSN261201000006C	9
5U01HG004399-2	1
T32 ES016645-01	1
N01-RC- 45035	1
HL072518	1
HL087698	5
M01-RR000052	13
G0802189	1
MC_G1000734	8
G0801306	2
070122/A/02/Z	2
G0601943	4
P01 HL083069	24
P01HL083069	2
R01HL084323	2
N01HR76119	9
K08HL080242	1
R01HL075478	1
U01HL089856	3
N01 HR076115	8
K08 HL080242	1
R01 AG016495-10	2
P30 AG010129-19	2
AG033193	18
R01 AG008122-20	2
NS17950	18
AG08122	16
R01 HL059367-08	1
M01 RR000069-350178	1
R01 NS017950-27	1
P30 DK063491-04	2
AG16495	11
R01 AG033193-01	2
U01HL080295	12
R01 CA074880-10	2
R01 CA131335	2
P42 ES007373	1
R01 CA057494-16	1
R01 CA 74880	3
U01 CA 127615	3
P50 CA 91846	3
R01 CA131335-04	2
P42 ES007373-16	1
R01 CA057494	4
R01 CA 133996	1
P50 CA091846-10	2
R01 CA074880	3
P50 CA091846	3
T32 CA096520	4
U01 CA127615	5
P50 CA098258	1
U01 CA127615-05	1
R01 CA133996-03	1
P42 ES07373	1
R01 CA 131335	1
R01 CA 57494	1
K/OPR/2/2/D333	2
U01 CA074783-06	2
U24 CA074783	19
U01 CA076783	3
U01 CA074783-07	2
CA95011	1
A6360	1
CZB/4/449	7
U01 CA074783-05	2
G0301096	4
K01 DK083029	1
K01 DK083029-02	1
P30 AG024827	6
R01 HL63209	1
R01 HL66533	1
R01 HL074366	1
P50 HL56399	1
R01 HD021244	2
P01 HL30086	1
P01 HL072262	1
R01HL67406	1
U01 HL66682	1
AI062773	3
R01 DK064869-06A1	1
DK043351	4
R01 DK064869-07	2
U01 DK062432-07	1
R01 DK060049	2
R01 DK064869-05S1	1
WT091745/Z/10/Z	1
083948/Z/07/Z	10
P30 DK040561-15	2
R01 DK064869-08	1
U01 DK062432-10	1
DK83756	3
U01 DK062432-09	1
DK076984	3
G1002033	3
U01 DK062432-08	2
R01 DK083756	3
R01 HL056931-02	4
G0802320	1
N01HD013107	1
R01 HL056931-04	4
R01HL056931	3
R01 HL056931-03	4
P30ES007033	3
R01 AR049747	1
U19 AG023122	13
ZIA AG000183-22	2
ZIA AG000183-23	2
R21 HL114237	2
U01 AG023755	7
U01 AG023746	17
K24 AR0524-01	2
M01 RR-00079	1
P60 AR047782	4
R01 AR49880	2
K24 AR02175	3
R01 AR049880	4
K08 AI55314-3	2
R01 HL077447	5
R01 AG031890	7
N01 PC067010	11
N01 PC067008	7
CA104682	2
R01 CA062006	6
N01 PC065064	7
R01 CA092153	15
U01 CA118444	8
N01 PC067009	6
R01 CA087014-01A1	1
R03 CA089745-01	1
P30AG012300	2
P50AG016570	2
P30AG028383	4
U01-AG032984	2
P30AG010129	4
R01AG019085	2
R01AG025259	2
P01AG002219	2
P50AG019724	1
R01AG026916	2
R01 AG009029	8
P50AG016582	4
K23 AG034550	5
R01 AG009956	5
P50AG016573	2
RC2 AG036650	4
RC2-AG036528	2
U01-AG10483	1
P50AG023501	3
R01 AG1101	1
R01AG031581	2
R01CA129769	2
R01AG009956	1
R01MH080295	2
R01AG17917	8
R01 AG028786	4
KL2 RR024151	4
P50AG008671	2
P30AG010124	2
P50AG008702	2
P50AG16574	1
R01 AG015473	2
5R01AG20688	1
R01AG028786	1
U24-AG021886	2
P50AG016576	2
P50AG005146	2
UL1RR029893	2
K23AG034550	2
R01AG037212	1
R01AG30146	6
P30AG008017	4
R01AG22018	1
P50AG016575	2
P50AG005136	2
R01AG15819	9
R01AG017173	2
R01 AG022018	4
P50AG016577	2
P30AG08051	2
P20 MD000546	3
P30AG13846	1
U01-AG016976	2
P30AG10161	10
P50AG005131	2
P30AG013854	2
R01 AG011101	8
P50AG005142	2
P30AG019610	2
P50AG005134	2
R01 AG036040	2
R01 AG28786-01A1	1
MO1RR00096	5
P30AG028377	4
AG005138	2
C348/A8896	2
R01-EY13435	3
R01 EY009769	2
R01-EY11309	3
K12 EY016335	4
K12-EY16335	3
R01 EY011600	1
R01 EY011309	5
R01 EY013435	7
R01-EY11600	1
R24 EY017404	2
R24-EY017404	3
R01HL087679	2
263MD821336	1
U54RR020278	3
K23HL80025	2
070191/Z/03/Z	3
K23HL083102	1
K23 HL080025-04	3
U54DA021519	1
1Z01HG000024	2
N01AG-916413	1
N01AG-821336	1
R01HL087676	4
N01-HD-1-3107	2
P30 ES007033	3
85374	3
263MD916413	1
RL1MH083268	3
U01DK062418	6
1R01EY013612	1
R01 EY013612	1
R01 EY013612-10	1
M01 RR00039	3
P30 NS055077-01A2	1
M01 RR000039	5
M01 RR000039-47	1
UL1 RR025008	5
UL1 RR025008-01	1
P30 NS055077	2
M01 RR00069	1
P20 CA090578	5
T32 CA09142	1
CA127615	3
CA090578	4
R01 CA084354	3
R01-CA80127	2
CA074386	4
R01 CA055769	12
P50 CA90833	1
CA111646	1
P50 CA090578	5
P50 CA070907	13
ZIA BC005480-24	1
R01 CA111646	3
R01 CA090833	1
CA055769	2
CA092824	5
R01 CA074386	6
R01-CA84354	1
R01 CA080127	5
U01 HL072524-04	1
U01HL072524-04	4
N01 HC-95162	4
N01 HC-95169	5
HL08770002	1
N01-AG-12111	1
R01 HL075366	20
N01 HC-95165	4
N1AG62101A	6
5R01HL087660	1
R01 AG015928-02	3
R01 HL059367-11	3
UL1 RR024156-06	2
P30 DK072488-03	2
R01 AG018728-05	3
UL1 RR025005-05	4
R01 088119	3
RR-024156	30
K12 HL087746-05	1
R01 AG027058-04	2
N01 HC-95168	4
UL1 RR024156	54
P30 DK063491-03	2
R01 HL086694-05	3
R01 DK068336	6
N01 HC-95164	4
R01 AG032098-04	1
R01 AG023629-06	2
T32 AG000219-15	1
M01 RR000425-36	5
R01 HL-75774	1
N01 HC-95160	5
R01 HL075366-05	2
M01 RR016500-04	4
N01-AG-50002	1
1P50HL083800	1
R01HL08770003I	1
R01 HL075774-05	1
R01 HL087700-02	1
HL075366	16
N01 HC-95167	4
R01 HL105756-02	1
N01 HC-95159	12
R01 HL087660-03	1
N1AG62103A	5
N01 AG050002	3
N01 HC-95161	5
P50 HL083800	1
R01 AG020098-09	2
AG000219	1
R01 HL087700-03	4
N1AG62106A	4
R01 HL088119-04	6
N01 HC-95163	4
M01 RR 00070	1
U01 HG004402-02S1	3
N01 HC-95166	4
R01 DK068336-03	3
R01 HL075774	1
1K12 HL087746	1
T32 AG000219	3
K12 HL087746	1
M01 RR000070	5
P50 HL083800-05	1
R01 DK075681-01A2	1
K25 HL077663	1
Z99 MH999999	2
1K25-077663	1
Z99 NR999999	1
CA74880	2
CA121197	3
R01 CA121197-04	1
R01 CA111922	1
CA131335	1
CA91846	1
U01 CA127615-04	1
R01 CA121197	13
18475	8
R01 DA012848	1
K05 DA000049	1
K05-DA00049	1
R01-44292	1
UL1RR024143	1
R01-DA12848	1
UL1 RR024143	3
R01MH080403	2
R01MH078069	2
R01 MH078069	5
R01 HG004240	4
R01 MH083094	6
1R01MH097283	2
R01 MH097283	2
R01HG004240	1
CA118444	4
1 UL1 RR024150	1
CA92153	6
UL1 RR024150	5
N01-PC-35 141	1
N01 CA015083	4
R01-HL70100	1
R01-HL60040	1
U10 HL054473-05	1
U10 HL054496-05	1
U01 HL054509	11
K01 DK080188	2
U10 HL054472-05	1
U10 HL054473	9
U01 HL054471	13
U01 HL054496	9
UL1 RR025011-01	1
U10 HL054509	10
HL54515	5
U10 HL054515-05	1
R01 HL55673	5
HL54496	5
R01 HL055673-14	1
1UL1RR025011	2
HL54473	5
U10 HL054495	9
U10 HL054496	9
U10 HL054471	8
HL54495	5
U01 HL054495	11
HL54471	5
HL54509	5
U01 HL054473	13
U10 HL054495-05	1
HL54472	5
U10 HL054471-05	1
U10 HL054509-05	1
HHSN2682‐01100011C	1
HHSN268‐201100006C	1
HD044454	4
088984	2
295366	5
G19/2(78332)	4
HD046167	2
R01NS057756	1
242551	2
AR043274	1
AR-35583	1
R01 AG018393	4
R01 AR035583	11
R01 AR035584	10
R01 AG027576	13
R01 AR052000-05	1
UL1-RR-025752	1
AR-35584	1
AG-18393	1
AR-47785	1
R01-AG-005407	1
AR-048841	1
R01-AG-027576-22	1
2-R01-AG-027574-22A1	1
2-R01-AG-005394-22A1	1
UL1 RR025752	3
AG-05394	1
P60 AR047785	8
R01 AG005407	16
R01 AR035582	11
AG-05407	1
R01 AG005394	13
R01 AG027574	15
AR-35582	1
U01 HL65899	17
U01 HL065899	29
5R01HL087680	2
U01 HL075419	16
R01 HL086601	12
T32 HL07427	10
P30 ES007048	18
5P01ES011627	2
R01 HL087680	7
K08 HL092222	4
2T15LM007092-16	3
K08 HL092222-01	1
5P30ES007048	2
M01 RR016500-02	2
263 MD821336	4
263 MD9164 13	5
U19 AG023122-05	1
R21 AG032598-02	2
P30 DK072488-02	1
R01 CA127219	13
R01 CA127219-02	3
R01 CA127219-04	2
Z99 DA999999	1
