PUBMEDID	Acronym	Agency	Country	GrantID
29650774	HL;WT_;DK;AR;GM;AG	NHLBI NIH HHS;Wellcome Trust;NIDDK NIH HHS;NIAMS NIH HHS;NIGMS NIH HHS;NIA NIH HHS	United States;United Kingdom	R01 HL110380;R01 HL110400;102820/Z/13/Z;P30 DK036836;R01 AR073017;U01 GM061390;U19 GM061390;R00 AG047255;Missing ID;R01 GM117163
29632299	Missing Acronym	Missing Agency	Missing Country	Missing ID
29631575	Missing Acronym	CIHR	Canada	Missing ID
29665250	Missing Acronym	Missing Agency	Missing Country	Missing ID
30263053	GM;HL	NIGMS NIH HHS;NHLBI NIH HHS	United States	R01 GM031575;R01 HL091357;U01 HL072524
32897244	AG	NIA NIH HHS	United States	P01 AG031719
32895509	Missing Acronym	Missing Agency	Missing Country	Missing ID
29631748	MH	NIMH NIH HHS	United States	R01 MH106577
29662059	MRC_;WT_;MH	Medical Research Council;Wellcome Trust;NIMH NIH HHS	United Kingdom;United States	MC_PC_17228;MR/S015132/1;Missing ID;U01 MH109528;MC_PC_U127592696;MC_UU_00007/10;MC_QA137853;MR/K026992/1
30166351	Missing Acronym	Missing Agency	Missing Country	Missing ID
31043758	ES;MRC_;WT_;DUK_;ERC_;DK	NIEHS NIH HHS;Medical Research Council;Wellcome Trust;Diabetes UK;European Research Council;NIDDK NIH HHS	United States;United Kingdom;International	P30 ES010126;MR/M005070/1;MC_UU_12015/2;P30 ES023515;R01 ES022223;G0601261;MC_UP_A620_1017;098381;MC_UU_12011/4;R24 ES028507;MC_UU_12013/2;MC_UU_00011/5;G1001357;17/0005594;MR/J012165/1;MC_UU_12015/1;MC_UU_12013/1;R21 ES028226;MC_UU_00011/1;202802;MC_UU_00011/6;088806;104150;323195;MC_PC_15018;212259;R01 DK103246;098395;MC_UU_00007/10;205915;R01 ES029212;G9815508;P30 ES019776;MC_UU_12013/4
30297428	AG;HG;HD;MH;MRC_;DK;EY;HL	NIA NIH HHS;NHGRI NIH HHS;NICHD NIH HHS;NIMH NIH HHS;Medical Research Council;NIDDK NIH HHS;NEI NIH HHS;NHLBI NIH HHS	United States;United Kingdom	RC2 AG036607;UM1 HG009408;P01 HD084387;R01 MH109907;MC_QA137853;R01 DK104764;R01 EY027004;MC_PC_17228;R01 DK090382;R01 HL138424
30255771	GM;HL	NIGMS NIH HHS;NHLBI NIH HHS	United States	R01 GM031575;R01 HL091357;R01 HL104135;U01 HL072524
30248107	Missing Acronym	Biotechnology and Biological Sciences Research Council	United Kingdom	BB/I021213/1
30254083	DK	NIDDK NIH HHS	United States	R01 DK078646;R01 DK101478
29728651	WT_;MRC_	Wellcome Trust;Medical Research Council	United Kingdom	Missing ID;MC_UU_00007/10;MR/K026992/1
